loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status
Car Loan,16795,0.051851709,15,Self-employed,Medium,833,Male,Single,Master,0
Personal Loan,1860,0.089295672,56,Full-time,Medium,776,Female,Married,Bachelor,0
Personal Loan,77820,0.070469564,51,Full-time,Low,697,Male,Divorced,High School,0
Car Loan,55886,0.062155,30,Full-time,Low,795,Female,Married,PhD,0
Home Loan,7265,0.070634819,48,Part-time,Low,519,Female,Married,High School,0
Car Loan,83386,0.07723212,13,Self-employed,Medium,472,Male,Divorced,PhD,0
Car Loan,38194,0.07092883,26,Part-time,High,689,Male,Married,PhD,0
Car Loan,88498,0.046916509,13,Part-time,Low,801,Female,Divorced,High School,0
Home Loan,45131,0.093455993,22,Self-employed,Low,559,Male,Divorced,Master,0
Education Loan,61263,0.099123126,56,Self-employed,Low,430,Male,Divorced,PhD,0
Personal Loan,17023,0.08977283,34,Full-time,High,412,Female,Divorced,Bachelor,0
Personal Loan,42090,0.062934715,21,Full-time,Low,319,Male,Married,PhD,0
Education Loan,68221,0.076977627,14,Self-employed,Low,514,Male,Married,PhD,0
Car Loan,65820,0.07990218,16,Full-time,Medium,609,Female,Divorced,Master,0
Car Loan,1769,0.088981916,14,Full-time,Medium,550,Female,Divorced,PhD,0
Personal Loan,60735,0.090025107,49,Self-employed,Medium,787,Female,Divorced,High School,0
Car Loan,63955,0.068987393,24,Part-time,High,681,Male,Divorced,Master,1
Education Loan,65925,0.081229933,53,Self-employed,Medium,708,Female,Single,PhD,1
Personal Loan,68969,0.086859206,30,Self-employed,Low,570,Male,Married,High School,1
Home Loan,6311,0.101837335,51,Part-time,Low,706,Male,Married,High School,1
Car Loan,84104,0.090567598,46,Full-time,High,493,Male,Divorced,PhD,0
Education Loan,54707,0.09183585,35,Part-time,High,740,Male,Single,Bachelor,0
Personal Loan,86305,0.081257399,35,Part-time,Low,612,Female,Single,Bachelor,0
Personal Loan,29693,0.101156887,28,Self-employed,High,378,Male,Single,PhD,0
Home Loan,72932,0.086146442,51,Full-time,Low,479,Male,Divorced,PhD,0
Car Loan,94016,0.067083681,21,Full-time,Medium,313,Male,Single,High School,0
Home Loan,26658,0.10105055,13,Part-time,Low,545,Female,Divorced,PhD,0
Education Loan,85478,0.090468549,55,Self-employed,High,313,Female,Single,PhD,1
Personal Loan,19431,0.07335434,34,Part-time,Medium,398,Female,Divorced,High School,0
Personal Loan,3747,0.072807605,17,Full-time,Low,332,Male,Divorced,PhD,1
Home Loan,60150,0.084448633,13,Full-time,High,735,Male,Married,PhD,0
Home Loan,66725,0.086947772,32,Self-employed,High,556,Female,Divorced,PhD,0
Home Loan,85654,0.082959384,46,Self-employed,Medium,333,Female,Single,High School,0
Car Loan,36773,0.08466963,40,Part-time,Low,318,Male,Married,PhD,1
Personal Loan,68435,0.105499361,18,Self-employed,Low,559,Female,Single,Bachelor,0
Car Loan,57886,0.096073147,40,Part-time,High,715,Male,Divorced,PhD,0
Education Loan,67803,0.082859534,48,Self-employed,Medium,436,Female,Married,Bachelor,1
Car Loan,32551,0.094119659,34,Part-time,Low,658,Male,Divorced,PhD,1
Home Loan,12394,0.064512141,44,Full-time,Medium,415,Male,Divorced,High School,0
Education Loan,70092,0.085968906,19,Full-time,High,703,Male,Single,Bachelor,0
Education Loan,4890,0.107139595,23,Full-time,Low,501,Female,Single,PhD,0
Car Loan,42606,0.076729312,57,Full-time,High,675,Female,Single,PhD,0
Car Loan,97276,0.067285491,59,Full-time,Low,549,Male,Married,PhD,0
Home Loan,81038,0.070218667,21,Full-time,High,745,Female,Single,PhD,0
Home Loan,88313,0.063655504,26,Self-employed,Low,577,Male,Divorced,High School,0
Education Loan,11627,0.068228571,35,Self-employed,Medium,411,Female,Married,Master,0
Home Loan,9792,0.074442379,37,Self-employed,Low,772,Female,Single,Bachelor,0
Personal Loan,74969,0.058916495,58,Part-time,Low,691,Male,Single,PhD,1
Personal Loan,44001,0.080234275,53,Self-employed,High,442,Female,Single,High School,1
Education Loan,77552,0.093534158,50,Self-employed,Low,331,Female,Divorced,Master,0
Car Loan,24897,0.066383657,14,Part-time,Low,480,Male,Single,High School,0
Car Loan,69148,0.102789259,13,Part-time,Low,815,Male,Divorced,PhD,1
Personal Loan,24483,0.087661881,17,Full-time,High,568,Male,Married,Master,0
Car Loan,49555,0.095458709,32,Self-employed,Low,535,Male,Single,Bachelor,0
Home Loan,18159,0.070132482,20,Self-employed,Medium,576,Female,Divorced,Bachelor,0
Personal Loan,81077,0.092817878,21,Part-time,Medium,574,Female,Single,High School,0
Education Loan,36920,0.063620991,47,Full-time,High,385,Male,Single,Bachelor,1
Car Loan,93067,0.093353713,14,Self-employed,Low,362,Female,Married,Bachelor,1
Education Loan,68121,0.08257759,52,Part-time,High,703,Male,Married,Master,0
Education Loan,70479,0.088298768,35,Part-time,Low,491,Male,Divorced,Bachelor,1
Car Loan,90475,0.062366081,33,Self-employed,High,592,Male,Divorced,Master,0
Car Loan,20457,0.066573952,25,Part-time,Low,330,Female,Divorced,Master,0
Personal Loan,67557,0.088958423,53,Part-time,Low,629,Female,Married,Master,0
Personal Loan,78189,0.06577478,56,Self-employed,High,406,Female,Divorced,Bachelor,0
Education Loan,79953,0.086948094,55,Full-time,High,575,Male,Married,High School,0
Education Loan,53995,0.059492933,38,Self-employed,High,381,Male,Married,High School,0
Personal Loan,41757,0.092722613,44,Full-time,Low,363,Female,Single,Bachelor,0
Education Loan,10692,0.06151215,33,Part-time,High,428,Female,Single,Master,0
Home Loan,46758,0.088284499,40,Self-employed,Low,555,Female,Divorced,Bachelor,0
Car Loan,73409,0.089384464,30,Self-employed,Medium,530,Female,Married,PhD,0
Car Loan,72211,0.069548423,30,Full-time,Medium,796,Male,Married,High School,1
Home Loan,66697,0.088730399,17,Part-time,Low,436,Female,Married,Master,1
Personal Loan,38065,0.083906634,56,Self-employed,Low,754,Female,Single,Bachelor,0
Personal Loan,93093,0.071917372,30,Self-employed,High,654,Male,Married,Master,0
Education Loan,33606,0.06487168,24,Part-time,Low,784,Female,Divorced,PhD,0
Education Loan,12534,0.050560615,37,Full-time,Low,445,Female,Divorced,Master,0
Personal Loan,95663,0.085244751,33,Self-employed,Medium,332,Female,Single,PhD,0
Education Loan,41397,0.056527958,32,Part-time,High,559,Male,Divorced,High School,0
Home Loan,92387,0.081430163,47,Self-employed,High,386,Male,Married,Master,0
Car Loan,2016,0.076048277,13,Self-employed,Low,564,Female,Married,Bachelor,0
Home Loan,90789,0.090187142,58,Self-employed,High,841,Male,Divorced,Master,0
Car Loan,56591,0.075469318,55,Full-time,Medium,691,Female,Single,Master,0
Car Loan,90812,0.075058283,41,Part-time,Medium,531,Female,Married,PhD,0
Education Loan,24247,0.090978061,38,Self-employed,Medium,746,Male,Married,PhD,0
Education Loan,25300,0.08502587,18,Self-employed,Low,428,Female,Single,Bachelor,0
Car Loan,75065,0.084742339,31,Self-employed,Low,570,Male,Married,High School,0
Education Loan,83798,0.087039014,42,Full-time,Medium,388,Male,Divorced,High School,1
Home Loan,10268,0.056966418,34,Self-employed,Medium,765,Male,Divorced,PhD,0
Personal Loan,87807,0.09135183,24,Part-time,High,469,Female,Single,Bachelor,0
Education Loan,13185,0.089187032,28,Full-time,High,427,Female,Single,Master,0
Education Loan,64704,0.064749753,15,Part-time,High,473,Female,Divorced,Bachelor,0
Education Loan,87779,0.076338793,25,Self-employed,High,325,Female,Single,Bachelor,0
Personal Loan,40099,0.079410391,31,Self-employed,Medium,810,Male,Divorced,Bachelor,0
Home Loan,9571,0.077982548,24,Full-time,High,787,Female,Single,High School,0
Car Loan,39044,0.085007899,14,Self-employed,Medium,705,Female,Divorced,Master,0
Home Loan,52214,0.101470502,37,Part-time,Medium,325,Male,Married,Bachelor,1
Education Loan,62228,0.096226501,37,Part-time,Low,382,Male,Married,High School,0
Personal Loan,49984,0.060316712,29,Part-time,High,663,Female,Divorced,High School,0
Home Loan,41774,0.08933105,43,Self-employed,Medium,666,Male,Married,PhD,1
Education Loan,3568,0.099934,25,Self-employed,Low,359,Female,Divorced,Master,0
Education Loan,63592,0.085802128,58,Full-time,Low,591,Female,Single,Bachelor,0
Car Loan,68563,0.096364706,14,Full-time,Medium,490,Male,Married,Master,0
Personal Loan,3695,0.110184057,12,Part-time,Medium,760,Male,Married,PhD,0
Car Loan,49190,0.095355643,37,Part-time,High,532,Female,Married,PhD,0
Home Loan,6258,0.083739629,35,Full-time,High,773,Female,Divorced,Bachelor,0
Car Loan,88538,0.095676327,46,Full-time,Medium,704,Female,Married,High School,0
Home Loan,40504,0.082173317,25,Part-time,Medium,570,Female,Single,PhD,0
Education Loan,34159,0.080358546,14,Full-time,Low,433,Female,Married,High School,0
Personal Loan,14986,0.074728786,24,Self-employed,Low,470,Male,Single,PhD,0
Personal Loan,62858,0.1034512,58,Self-employed,Low,714,Female,Married,Master,0
